index,a_lot,device,wafer_info,device_group,package,bond_wire,ship_package,final_test_output,final_test_yield,delivery_date,quality_id,release,scrapped,transistor_type,chip_configuration,lead_frame,soft_solder,ongoing_process,ongoing_input,ongoing_reject,ongoing_output,ongoing_done_date,beginning_process,beginning_input,beginning_reject,beginning_output,beginning_done_date,progress,progress2,current_step,comment_for_lot_step,progress2_comment_2
2987,501669,FZT853,9Y33IBSEN.7: 2(ringprobed); 9Y33IBSEN.6: 2(probed); 9Y33IBSEN.11: 1(probed),HT,SOT223,CU,TA,24698.0,99.14,2019-09-05,0,,,npn,FZT853D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,AUSLIEFERN,25000.0,0.0,25000.0,2019-09-05 00:00:00,SÄGEN,24888.0,0.0,24888.0,2019-08-28 00:00:00,1.0045001607200257,1.0147339367617811,AUSLIEFERN,Ausgeliefert,Erledigt
2988,501668,FZT849,9Y33HIGHS.3: 10(probed); 9Y33HIGHS.7: 3(unprobed); 9Y33HIGHS.4: 5(ringprobed),HT,SOT223,CU,TA,89874.0,98.96,2019-09-12,0,,,npn,FZT849D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.50MM,AUSLIEFERN,89000.0,0.0,89000.0,2019-09-12 00:00:00,SÄGEN,91404.0,0.0,91404.0,2019-08-27 00:00:00,0.9736991816550697,1.0170150038280903,AUSLIEFERN,Ausgeliefert,Erledigt
2989,501667,FZT789A,9Y15SHORE.12: 2(ringprobed); 9Y07CLOUD.6: 1(ringprobed); 9Y15SHORE.13: 1(unprobed),MT,SOT223,CU,TA,46877.0,97.63,2019-09-06,0,,,pnp,FZT749AD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,46000.0,0.0,46000.0,2019-09-06 00:00:00,SÄGEN,47763.0,0.0,47763.0,2019-08-27 00:00:00,0.9630885832129472,1.0159234965436517,AUSLIEFERN,Ausgeliefert,Erledigt
2990,501666,FZT753,9Y31SNOOP.6: 6(unprobed),MT,SOT223,CU,TA,77949.0,98.06,2019-09-04,0,,,pnp,FZT753D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,78000.0,0.0,78000.0,2019-09-04 00:00:00,SÄGEN,78657.0,0.0,78657.0,2019-08-26 00:00:00,0.9916472786910256,1.0142779121479286,AUSLIEFERN,Ausgeliefert,Erledigt
2991,501665,FZT692BQ,9Y31HURRY.4: 1(probed); 9Y33TEXTS.3: 5(probed),MT,SOT223,AU,TA,74291.0,98.27,2019-09-03,0,,,npn,FZT653BD,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,75000.0,0.0,75000.0,2019-09-03 00:00:00,SÄGEN,75300.0,0.0,75300.0,2019-08-21 00:00:00,0.9960159362549801,1.0193264290956536,AUSLIEFERN,Ausgeliefert,Erledigt
2992,501664,FZT655,9Y33GLYPH.5: 3(unprobed),MT,SOT223,CU,TA,37757.0,98.6,2019-09-09,0,,,npn,FZT655D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,37000.0,0.0,37000.0,2019-09-09 00:00:00,SÄGEN,39342.0,0.0,39342.0,2019-08-22 00:00:00,0.9404707437344314,1.0002703433360367,AUSLIEFERN,Ausgeliefert,Erledigt
2993,501663,FZT653,9Y34LITRE.6: 2(unprobed),MT,SOT223,CU,TA,26046.0,99.38,2019-09-05,0,,,npn,FZT653D,LEADFRAME DZN 2000 (all over Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,26000.0,0.0,26000.0,2019-09-05 00:00:00,SÄGEN,26228.0,0.0,26228.0,2019-08-26 00:00:00,0.9913070001525087,1.0043651253524934,AUSLIEFERN,Ausgeliefert,Erledigt
2994,501661,BSP75N,9Y38EPICS.8: 1(probed); 9Y38EPICS.9: 1(ringprobed); 9Y38EPICS.5: 5(probed); 9Y38EPICS.6: 16(ringprobed),SVMOS,SOT223,AU,TA,120867.0,98.86,2019-09-11,0,,,,BSP75ND,LEADFRAME DZN 2012 (spot Ag),MICROBOND SOFT SOLDER WIRE 0.30MM,AUSLIEFERN,120000.0,0.0,120000.0,2019-09-11 00:00:00,SÄGEN,122676.0,0.0,122676.0,2019-08-27 00:00:00,0.9781864423359092,1.003101254712486,AUSLIEFERN,Ausgeliefert,Erledigt
2995,501374,ZXTN25100DFH,9Y18SHOPS.3: 7(probed),SS6,LFSOT23,AU,TA,144258.0,99.36,2019-09-18,0,,,,X25N100DD,LEADFRAME DZN 1020,,AUSLIEFERN,141000.0,0.0,141000.0,2019-09-18 00:00:00,SÄGEN,146533.0,0.0,146533.0,2019-09-02 00:00:00,0.9622405874444664,0.9890225511170343,AUSLIEFERN,Ausgeliefert,Erledigt
2996,501373,ZXTN2031F,9Y36PRAYS.4: 11(unprobed),SS6,LFSOT23,AU,TA,106164.0,97.85,2019-09-25,0,,,,X23N49CD,LEADFRAME DZN 1011,,AUSLIEFERN,105000.0,0.0,105000.0,2019-09-25 00:00:00,SÄGEN,112299.0,0.0,112299.0,2019-09-07 00:00:00,0.9350038735874763,1.0081129086457683,AUSLIEFERN,Ausgeliefert,Erledigt
